0,9 liter	quart
2000 pon	short ton
201 meter	furlong
2240 pon	longton
3270	<P><FONT COLOR=BLUE SIZE=5><B>3270</FONT></B>\n<BR>DCHA
5 kali	five times
aaah	phoey
ABAC	<P><FONT COLOR=BLUE SIZE=5><B>ABAC  </FONT></B>\n<br>KSBA
abaca	pisang/serat manila
abaci	sempoa
abacus	sipoa
abad	century
abad-abad yang lalu	past centuries
abad-abad zaman purba	ancient centuries
abad angkasa	air age
a bad egg	orang jahat
abadi	deathless
abadi	immortal
abadi	ad infinitum
abadi	age long
abadi	undying
abadi	eternal
abadi	last for ever
abadi/kekal	immutable
abad ini	this century
abad ini	in the middle of this century
abad jet	jet age
abad ke-15	quatrocento
abad ke duapuluh	twentieth century
a bad lot	orang jahat
abad mesin	machine age
abad moderen	modern century
a bad one	satu hal yang jelek
abad pertengahan	medieval centuries
Abad Pertengahan	middle ages
a bad press	pemberitaan jelek
a bad quarter of an hour	pengalaman menyakitkan
abaft	di buritan
a baging bones	orang kurus
a bag of bones	kurus kering
abaikan	respecting not the
a baker's dozen	lebih dari duabelas
abalone	tiram
abampere	abampere
abandon	tinggal
abandoned	meninggalkan
abandoned by	ditinggalkan oleh
abandoned to	menyerah . kepada
abandonee	yang menerima hak
abandoning	menunda
abandonment	penundaan
abang sulung	eldest brother
abar blok	block brake
a bargain	murah
abar-roda	wheel-brake
abase	menghina
abased	menghina
abasement	pengingkaran
abash	memalukan
abashed	bingung
abashing	memalukan
abashment	rasa malu
abasing	menghina
abat-abat pertengahan	medieval ages
abate	berkurang
abated	berkurang
abatement	penyusutan
a bath	mandi
abating	berkurang
abattoir	rumah pejagalan
abattpoir	pembantaian
a bay window	perut gendut
abbe	abbe
abbe condenser	kondensor abbe
abbed	abbed
abbed velvet	beludru berusuk
abbe number	angka abbe
Abbe prism	prisma Abbe
Abbe-Pulfrich dilatometer	dilatometer Abbe-Pulfrich
Abbe refractometer	refractometer Abbe
Abbe sine condition	syarat sinus Abbe
abbe sinus condition	syarat sinus abbe
abbess	kepala biarawati
abbe theory of resolution	teori pemisahan abbe
abbey	biara
abbot	kepala biarawan
abbreviate	menyingkat
abbreviated	menyingkat
abbreviating	menyingkat
abbreviation	singkatan
abc method	metode abc
abcoulomb	abcoulomb
abdicate	melepaskan
abdicated	turun-tahta
abdicating	turun tahta
abdication	penyerahan
abdomen	abdomen
abdominal	abdominal
abduct	menculik
abducted	menculik
abducting	menculik
abduction	penculikan
abductor	penculik
abeam	di rusuk
a bear for	antusias
a bed of down	tempat yang menyenangkan
a bed of roses	kehidupan mewah
a bee in one's bonnet	pikiran yang kacau
abegging	tidak diinginkan
a being	suatu mahluk
Abelian group	grup Abelan
Abe-Meeron theory	teori Abe-Meeron
aberasi bujur	longitudinal aberration
aberasi kromatik	chromatic aberration
aberasi optis	opfical aberration
aberasi tingkap	aperture aberration
aberrance	kesesatan
aberrant	menyimpang dari kebiasaan
aberrate	menyimpang
aberration	penyimpangan
aberration of light	lanturan cahaya
aberration of starlight	lanturan [aberasi] cahaya bintang
abet	bersengkongkol dengan
abeted	bersengkongkol dengan
abeting	bersengkongkol dengan
abetment	penghasutan
a better place for	tempat yang lebih baik bagi
abettor	kakitangan
abeyance	penundaan
abhor	membenci
abhored	membenci
abhorence	kebencian
abhorent	sumber kebencian
abhoring	membenci
abhorred	membenci
abhorrence	kengrian
abhorrent	menjijikkan
abhorrent to	menjijikkan
abhorring	membenci
abide	tinggal
abide at	tinggal di
abide by	mentaati
abided	mempercayai
abided at	tinggal di
abided by	mematuhi
abidering-acid	asam-pateri
abide with	tinggal bersama
abiding	terpercaya
abiding an agreement	mengikat suatu persetujuan
abiding at	tinggal di
a big hand	tepukan bersemangat
ability	kemampuan
ability to pay	kesanggupan untuk membayar
a bird's-eye view	pandangan burung
a bit	sedikit
a bit like	sedikit seperti
a bit of	sedikit
a bit of a	sedikit
a bit of blood	bibit unggul
a bitter one	sesuatu yang pahit
a bitter one to drink	sangat pahit untuk diminum
a bitter pill	hal yang tidak menyenangkan
a bit thick	tidak tahu malu
abjad	alphabet
abjad	alfabet
abjad telegraf	telegraphic alphabet
abject	hina dina
abjection	kehinaan
abjectly	dengan hina
abjuration	penyangkalan
abjure	menyangkal
abjured	menyangkal
abjuring	menyangkal
a black eye	mata backup
a black outlook	keadaan sangat buruk
ablasi	ablation
ablation	ablasi
ablation cooling	pendinginan ablasi
ablation melting	peleburan ablasi
ablative	ablativus
ablativus	ablative
ablaze	terbakar berkobar-kobar
able	mampu
able bodied	sehat dan tidak cacat
a bleeding heart	rasa kasihan
a blessing in disguise	rahmat tak terduga
able to	mampu
a blot on his escuteneon	pemburukan namanya
a blot on the escutcheon	noda atas nama baik
a blue-eyed boy	anak kesayangan
a blue rose	khayalan
a blue story	cerita cabul
ablution	upacara pembersihan
ably	dengan kemampuan
abney	abney
Abney effect	efek Abney
Abney law	hukum Abney
Abney mounting	cara-pasang Abney
abnormal	morbid
abnormal	abnormal
abnormal cost	biaya abnormal
abnormal events	peristiwa taknormal
abnormal glow discharge	lucutan pijar taknormal
abnormality	kelainan
abnormalization	ketidaknormalan
abnormalize	membuat tidak normal
abnormalized	membuat tidak normal
abnormally	dengan tidak normal
abnormal position	posisi tak normal
abnormal radiation	radiasi tak normal
abnormal sound	bunyi taknormal
aboard	di dalam
abode	tinggal
abode at	tinggal di
abode by	mematuhi
abode with	tinggal bersama
a body of	tubuh dari
abolish	menghapuskan
abolished	menghapuskan
abolishing	menghapuskan
abolishment	penghapusan
abolition	penghapusan
abolitionist	anggota gerakan penghapusan perbudakan
abolition of duty	pembebasan tugas
a bolt from the blue	kejutan
abomb	bom atom
abominable	menjengkelkan
abominably	secara tak menyenangkan
abominate	membenci
abominated	membenci
abominating	membenci
abomination	kejengkelan
abondoment value	nilai penghentian mutlak
a bone of contention	pangkal perselisihan
abonnement	berlangganan
a book that	sebuah buku yang
a boon companion	kawan baik
a bootless errand	tugas yang gagal
aborigin	aborigine
aboriginal	tentang penduduk asli
aboriginal inhabitant	penduduk asli
aborigine	aborigin
aborigines	penduduk asli
a born fool	orang tolol
abort	menggugurkan
aborted	menggugurkan
aborted coup	kegagalan perebutan kekuasaan
abortif	abortive
aborting	menggugurkan
abortion	pengguguran
abortionist	pendukung aborsi
abortive	abortif
abortively	dengan abortif
abort the pregnance	menggugurkan kandungan
abound	makmur berlimpah
abounded with	penuh dengan
abound in	berlimpah-limpah
abounding with	penuh dengan
abound with	penuh dengan
about	tentang
about face	perubahan tiba-tiba
about it	tentang itu
about something	terlibat dalam
about status of	menyangkut status
about that	tentang itu
about the	tentang
about the same time	sekitar waktu yang sama
about to	mulai
above	di atas
above all	di atas semua(nya)
above all else	di atas semuanya
above all praise	terpuji
above board	tulus hati
above ground	masih hidup
above mentioned	tersebut di atas
above oneself	menyombongkan diri
above one's head	sukar dimengerti
above par	di atas nilai nominal
above reproach	sempurna
above stream	sebelah hulu
above that	di atas yang
above that on the	melebihi
above the common	luar biasa
above the ground	hidup
above-the-line	atas garis
above-the-line promotion	promosi atas garis
above the rest	istimewa
above the salt	bangsawan
above the sea level	di atas permukaan laut
above the waters	di atas air
above water	terhindar dari kesulitan
abracadabra	abrakadabra
abrade	mengelupas/mengetam
abraded	mengelupas
abrading	mengelupas
abraham	abrahams
Abraham-Lorentz model of electron	model elektron Abraham-Lorentz
abrahams	abraham
abrahams lorentz equation of	motion persamaan gerak abraham lorentz
a brain-wave	ilham
abrakadabra	abracadabra
abrams	abrams
abrams law	hukum abrams
abrasif	abrasives
abrasion	lecet/pengausan
abrasion process	proses ampelas [abrasi]
abrasion resistance	hambatan ampelas [abrasi]
abrasive	abrasive
abrasive cloth	ampelas kain
abrasive grain	butir ampelas [abrasi]
abrasive hardness	kekerasan ampelas [abrasi]
abrasive paper	ampelas kertas
abrasives	abrasif
abrasive sizes	ukuran ampelas [abrasi]
abrasive wheel grade	peringkat roda abrasif
abrasive wheel nomenclature	tatanama roda ampelas [abrasi]
abrasive wheels	rode ampelas [abrasi]
a brass band	band/musik kuningan
abrassive	abrassive
abrassive material	bahan-asah
abreast	mengikuti
abreasted	mengikuti
abreasted of	mengikuti
abreasted of the times	tahu akan tuntutan jaman
abreasted with	mengikuti
abreasting	mengikuti
abreasting of	mengikuti
abreasting with	mengikuti
abreast of	mengikuti
abreast of the times	tahu akan tuntutan jaman
abreast with	mengikuti
a breath of air	udara segar
abridge	memudahkan
abridged	memudahkan
abridgement	ikhtisar
abridging	memudahkan
abridgment	pemudahan
abriged	ringkas
abroad	luar negeri
abroad minded	berpikir ala luar negeri
abrogate	membatalkan
abrogated	membatalkan
abrogating	membatalkan
abrogation	pembatalan
a broken heart	orang yang patah hati
a broken man	orang yang sangat sedih
a broken reed	[pembual/ sebatang alang-alang patah]
a brown study	permenungan
abrupt	kasar
abruptly	dengan kasar
abruptness	kekasaran
abscess	bisul
abscessed	bisulan
abscessing	bengkak
abscissa	absis
abscond	melarikan diri
absconded	melarikan diri
absconding	melarikan diri
absen	absent
absence	ketidakhadiran
absen cuti	leave of absence
absen dari kelas	cutting a class
absennya pekerja	labour turnover
absent	absen
absentee	yang tak hadir
absenteeism	ketidakhadiran
absentee landlord	tuan tanah
absently	dengan absen
absent minded	pelamun
absentmindedness	kelinglungan
absent with leave	hadir dengan
absent without leave	membolos
absinth	sejenis minuman
absis	abscissa
absolut	absolute
absolute	absolut
absolute ampere	ampere mutlak
absolute boiling point	titik didih mutlak
absolute concentration	kadar mutlak
absolute configuration	konfigurasi mutlak
absolute density	kerapatan mutlak
absolute disk sector	sektor absolut disk
absolute electrometer	elektrometer mutlak
absolute error	kesalahan mutlak
absolute filter	tapis mutlak
absolute force	gaya mutlak
absolute frame of reference	kerangka acuan mutlak
absolute future	masa depan mutlak
absolute height	ketinggian mutlak
absolute humidity	kelembaban mutlak
absolute index of refraction	indeks bias mutlak
absolute limit of height	batas tinggi mutlak
absolute luminance	ambang seri mutlak
absolute luminosity	liku serian mutlak
absolutely	tentu saja/sungguh
absolutely apparent	sungguh nampak
absolutely complete	sempurna
absolutely everything	hampir semuanya
absolutely force	kekuatan mutlak
absolute manometer	manometer mutlak
absolute measure	ukuran mutlak
absolute measuring system	sistem ukuran mutlak
absolute motion	gerak mutlak
absolute movement	gerak mutlak
absolute past	masa lampau mutlak
absolute permeability	telapan mutlak
absolute pitch	titinada mutlak
absolute power	gaya mutlak
absolute pressure	tekanan mutlak/sebenarnya
absolute purity threshold	ambang murnian mutlak
absolute space	ruang mutlak
absolute space-time	ruang waktu mutlak
absolute specific gravity	berat jenis mutlak
absolute speed	kecepatan mutlak
absolute system of reference	sistem acuan mutlak
absolute temperature	temperatur mutlak
absolute temperature scale	skala suhu mutlak
absolute time	waktu mutlak
absolute title	hak mutlak
absolute unit	satuan mutlak
absolute vacuum	hampa udara mutlak
absolute vacuum gauge	tolok vakum mutlak
absolute vacuum meter	meteran vakum mutlak
absolute value	nilai mutlak
absolute velocity	kecepat-mutlak
absolute viscosity	kekentalan mutlak
absolute volume	volum padat mutlak
absolute weight	bobot mutlak
absolute zero	mutlak
absolution	pengampunan
absolutism	pengampunan dosa
absolutist	penganut kemutlakan
absolut majority	lebih dari separuh
absolut zero	titik lebur
absolve	membebaskan
absolved	mengampuni
absolving	mengampuni
absorb	menyerap
absorbance	absorbansi
absorbancy	absorbansi
absorbansi	absorbance
absorbansi	absorbancy
absorbate	zat terserap
absorbed	menyerap
absorbed close	dosis serapan
absorbed dose	dosis serapan
absorbed dose rate	laju dosis terserap
absorbed heat	kalor yang diterima
absorbed in	asyik dalam
absorbed in thought	merenung
absorbed with	terserap oleh
absorbent	penyerap
absorber	peredam
absorber control	kendalian penyerap
absorb heat	kalor yang diserap
absorbing	sangat menarik
absorbing agent	alat/bahan serap
absorbing circuit	lingkungan penyerap
absorbing duct	pipa pelaif bunyi
absorbing fluid	zalir serap
absorbing power	daya serap
absorbing state	keadaan serap
absorbing trap	perangkap serap
absorbing well	sumur serap
absorbtance	absorptans
absorbtion	absorbtion
absorbtion coefficient	kofisen serap
absorpsi	imbibition
absorpsi dielektrik	dielectric absorption
absorpsi neutron	neutron absorption
absorpsion	daya serap
absorpsi resonans	resonance absorption
absorpsi ulangan	re-absorption
absorptance	absorptans
absorptans	absorptance
absorptans	absorbtance
absorption	penyerapan
absorption analysis	analisa serapan
absorption apparatus	aparat penyerap
absorption band	pita serap
absorption cell	sel serapan
absorption circuit	lingkaran penyerap
absorption coefficient	koefisien penyerap
absorption constant	tetapan serapan
absorption control	kendalian serapan
absorption costing	penetapan biaya absorsi
absorption cross section	tampang serap
absorption current	arus serapan
absorption curve	grafik serap
absorption cycle	daur serapan
absorption discontinuity	diskontinuitas absorpsi
absorption edge	pinggir serap
absorption equilibrium	seimbangan jerap
absorption exponent	pangkat jerap
absorption factor	faktor penyerap
absorption index	index serap
absorption in photodetectors	serapan dalam fotodetektor
absorption isostere	isoster jerap
absorption isotherm	isoterm jerap
absorption lens	kanta serap
absorption limit	batas serapan
absorption loss	hilang absorpsi
absorption machine	mesin-absorpsi
absorption of fission fragment	serapan sibir belahan
absorption of gamma rays	serapan sinar gama
absorption of heat	daya serap panas
absorption of light	serapan cahaya
absorption of neutrons	serapan neutron
absorption of particles	serapan zarah
absorption of radiation	serapan radiasi
absorption of sound	serapan bunyi
absorption of water	penyerapan air
absorption potential	potensial jerap
absorption power	daya serapan
absorption pump	pompa serapan
absorption ray	sinar serapan
absorption space	ruang jerap
absorption spectrum	spektrum serap
absorption trap	perangkap serapan
absorption wall	dinding serapan
absorptive	dapat menyerap
absorptive medium	medium absorptif
absorptivity	keterserapan
abstain	abstention
abstain	menyangkal
abstained	berpantang
abstained from	berpantang
abstainer	pemantang
abstain from	berpantang
abstaining	berpantang
abstaining from	berpantang
abstemious	bebas dari minuman keras
abstemiousness	keadaan berpantang
abstention	abstain
abstinence	pantang
abstract	memisahkan
abstracted	meringkas
abstracteded	melamun
abstracteding	melamun
abstracting	meringkas
abstraction	abstrak
abstraction heat	penyerahan kalor
abstract noun	benda tidak nyata
abstract of title	gambaran ringkas tentang hak
abstract system	sistem abstrak
abstrak	abstraction
abstruse	muskil
abstruseness	kemustahilan
absurd	absurd
absurdity	kemustahilan
absurdly	bukan alang kepalang
abu	asbestos ash
abu-abu	grey
abu-abu kelabu	ash grey
a bull in a china shop	membabi buta
abundance	kelimpahan
abundance ratio	nisbah kejerahan
abundant	berlimpah-limpah
abundantly	dengan berlimpah-limpah
abu panas	cinder
a burning question	masalah hangat
abusal	cercaan
abuse	menyakititi
abused	menyalah-gunakan
abuse of justice	penyalahgunaan hak
abuse of parental power	penyalahgunaan kekuasaan sebagai orang tua
abuse of power	penyalahgunaan kekuasaan
abuse of right	penyalahgunaan hak
abusing	menyalah-gunakan
abusive	mengandung kutukan
abusively	tanpa aturan
abusive word	caci-maki
abu soda	soda ash
abut	berbatasan dengan
abuted	berbatasan dengan
abuted on	berbatasan dengan
abuting	berbatasan dengan
abutment	pangkal jembatan
abutment wall	dinding tumpuan
abut on	berbatasan
abysinia	abyssinian
abysmal	dalamnya tak terukur
abyss	jurang ngarai yang dalam sekali
abyssinian	abysinia
abyssinian well	sumur abysinia
ac	arus bolak-balik
academic	akademis
academically	secara akademis
academic freedom	kebebasan mimbar
academician	akademisi
academic year	tahun akademi
academy	akademi
academy of painting	akademi senilukis
a caesarean section	operasi kaesar
acak	random
acara hari ini	the order of the day
acara hiburan klab malam	floor show
acara perkara	lawsuit procession
acara pilihan pendengar	request program
acara radio	radio program
acara televisi	television programme
acara TV	TV program
acara TV luar negeri	foreign TV programme
acara TV nasional	national television program
acara TV setempat	local-television programme
acara TV yang membosankan	monotonous TV programme
acara TV yang menarik	interesting TV programme
acara wawancara televisi	chat show
acara yang sedikit penontonnya	minority programme
acar kubis	sauerkraut
a case in point	contoh
a case of life and death	pilihan hidup atau mati
a cast in the eye	mata juling
a cast of mind	watak
a cat and dog life	hidup penuh pertengkaran
a cat's paw	antek
acc	setuju
accede	mengabulkan
acceded	mengabulkan
acceded to	menyetujui
accede to	meluluskan
accede with	memenuhi
acceding	dalam proses mengabulkan
acceding to	menyetujui
accelariting	accelariting
accelariting ability	daya akselerasi
accelerate	mempercepat
accelerated	mempercepat
accelerated crucible rotation technique	teknik putar sangan dipercepat
accelerated depreciation	penghapusan dipercepat
accelerated frame of reference	kerangka acuan dipercepat
accelerated motion	gerak percepatan
accelerating	mempercepat
accelerating ability	daya akselerasi
accelerating anode	anode pemercepat
accelerating electrode	percepatan elektroda
accelerating grid	kisi percepatan
accelerating movement	gerak dipercepat
accelerating pump	pompa percepatan
acceleration	akselerasi
acceleration detection	pendeteksian percepatan
acceleration equation	persamaan percepatan
acceleration field	medan percepatan
acceleration force	kakas percepatan
acceleration jet	percik akselerasi
acceleration of cosmic rays	percepatan sinar kosmos
acceleration of freefall	percepatan jatuh-bebas
acceleration of gravity	percepatan gravitasi
acceleration pedal	pedal percepatan
acceleration rate	tingkat akselerasi
accelerator	pedal kecepatan
accelerator-beam luminosity	luminositas berkas pemercepat
accelerator foot control	tuas gas
accelerator pedal	pedal gas
accent	aksen
accented	menekankan
accentuate	menekankan
accentuated	menekankan
accentuating	menekankan
accentuation	penekanan
accept	menerima
acceptability	kemampuan menerima
acceptable	bisa diterima
acceptable to	bisa diterima oleh
acceptance	penerimaan
acceptance commission	komisi aksep
acceptance credit	kredit aksep
acceptance liability	kemampuan keuangan
acceptance of	penerimaan terhadap
acceptation	penerimaan secara umum
accept delivery	menerima kiriman
accepted	menerima
accepted as	menerima sebagai
accepted measure	ukuran yang berlaku
accepting	menerima
acceptor	akseptor
acceptor atom	atom akseptor
acceptor circuit	untai akseptor
